2025-01-29 20:22:26,476 - INFO - Use pytorch device_name: cpu
2025-01-29 20:22:26,477 - INFO - Load pretrained SentenceTransformer: multi-qa-mpnet-base-dot-v1
2025-01-29 20:24:13,002 - INFO - Loading text file...
2025-01-29 20:24:13,003 - INFO - Chunking text...
2025-01-29 20:24:13,006 - INFO - Computing embeddings...
2025-01-29 20:24:13,007 - INFO - Starting embedding computation for 69 chunks
2025-01-29 20:24:30,848 - INFO - Processed chunk 54/69 (Time: 0.25s, Estimated remaining: 4.96s)
2025-01-29 20:24:31,155 - INFO - Processed chunk 55/69 (Time: 0.31s, Estimated remaining: 4.62s)
2025-01-29 20:24:31,497 - INFO - Processed chunk 56/69 (Time: 0.34s, Estimated remaining: 4.29s)
2025-01-29 20:24:31,798 - INFO - Processed chunk 57/69 (Time: 0.30s, Estimated remaining: 3.96s)
2025-01-29 20:24:32,151 - INFO - Processed chunk 58/69 (Time: 0.35s, Estimated remaining: 3.63s)
2025-01-29 20:24:32,516 - INFO - Processed chunk 59/69 (Time: 0.37s, Estimated remaining: 3.31s)
2025-01-29 20:24:32,872 - INFO - Processed chunk 60/69 (Time: 0.36s, Estimated remaining: 2.98s)
2025-01-29 20:24:33,262 - INFO - Processed chunk 61/69 (Time: 0.39s, Estimated remaining: 2.66s)
2025-01-29 20:24:33,585 - INFO - Processed chunk 62/69 (Time: 0.32s, Estimated remaining: 2.32s)
2025-01-29 20:24:33,920 - INFO - Processed chunk 63/69 (Time: 0.34s, Estimated remaining: 1.99s)
2025-01-29 20:24:34,260 - INFO - Processed chunk 64/69 (Time: 0.34s, Estimated remaining: 1.66s)
2025-01-29 20:24:34,612 - INFO - Processed chunk 65/69 (Time: 0.35s, Estimated remaining: 1.33s)
2025-01-29 20:24:34,966 - INFO - Processed chunk 66/69 (Time: 0.35s, Estimated remaining: 1.00s)
2025-01-29 20:24:35,328 - INFO - Processed chunk 67/69 (Time: 0.36s, Estimated remaining: 0.67s)
2025-01-29 20:24:35,730 - INFO - Processed chunk 68/69 (Time: 0.40s, Estimated remaining: 0.33s)
2025-01-29 20:24:35,910 - INFO - Processed chunk 69/69 (Time: 0.18s, Estimated remaining: 0.00s)
2025-01-29 20:24:35,910 - INFO - Embedding computation completed in 22.90 seconds
