2025-01-30 13:26:38,790 - INFO - Use pytorch device_name: cpu
2025-01-30 13:26:38,791 - INFO - Load pretrained SentenceTransformer: multi-qa-mpnet-base-dot-v1
2025-01-30 13:26:43,330 - INFO - Loading text file...
2025-01-30 13:26:43,331 - INFO - Chunking text...
2025-01-30 13:26:43,332 - INFO - Computing embeddings...
2025-01-30 13:26:43,333 - INFO - Starting embedding computation for 69 chunks
2025-01-30 13:26:44,178 - INFO - Processed chunk 1/69 (Time: 0.85s, Estimated remaining: 57.49s)
2025-01-30 13:26:44,712 - INFO - Processed chunk 2/69 (Time: 0.53s, Estimated remaining: 46.22s)
2025-01-30 13:26:45,258 - INFO - Processed chunk 3/69 (Time: 0.54s, Estimated remaining: 42.36s)
2025-01-30 13:26:45,799 - INFO - Processed chunk 4/69 (Time: 0.54s, Estimated remaining: 40.08s)
2025-01-30 13:26:46,294 - INFO - Processed chunk 5/69 (Time: 0.50s, Estimated remaining: 37.91s)
2025-01-30 13:26:46,668 - INFO - Processed chunk 6/69 (Time: 0.37s, Estimated remaining: 35.02s)
2025-01-30 13:26:47,112 - INFO - Processed chunk 7/69 (Time: 0.44s, Estimated remaining: 33.47s)
2025-01-30 13:26:47,761 - INFO - Processed chunk 8/69 (Time: 0.65s, Estimated remaining: 33.76s)
2025-01-30 13:26:48,421 - INFO - Processed chunk 9/69 (Time: 0.66s, Estimated remaining: 33.92s)
2025-01-30 13:26:48,881 - INFO - Processed chunk 10/69 (Time: 0.46s, Estimated remaining: 32.73s)
2025-01-30 13:26:49,482 - INFO - Processed chunk 11/69 (Time: 0.60s, Estimated remaining: 32.42s)
2025-01-30 13:26:50,349 - INFO - Processed chunk 12/69 (Time: 0.87s, Estimated remaining: 33.33s)
2025-01-30 13:26:51,057 - INFO - Processed chunk 13/69 (Time: 0.71s, Estimated remaining: 33.27s)
2025-01-30 13:26:51,491 - INFO - Processed chunk 14/69 (Time: 0.43s, Estimated remaining: 32.05s)
2025-01-30 13:26:52,158 - INFO - Processed chunk 15/69 (Time: 0.67s, Estimated remaining: 31.77s)
2025-01-30 13:26:52,968 - INFO - Processed chunk 16/69 (Time: 0.81s, Estimated remaining: 31.92s)
2025-01-30 13:26:53,500 - INFO - Processed chunk 17/69 (Time: 0.53s, Estimated remaining: 31.10s)
2025-01-30 13:26:53,972 - INFO - Processed chunk 18/69 (Time: 0.47s, Estimated remaining: 30.15s)
2025-01-30 13:26:54,515 - INFO - Processed chunk 19/69 (Time: 0.54s, Estimated remaining: 29.43s)
2025-01-30 13:26:55,014 - INFO - Processed chunk 20/69 (Time: 0.50s, Estimated remaining: 28.62s)
2025-01-30 13:26:55,541 - INFO - Processed chunk 21/69 (Time: 0.53s, Estimated remaining: 27.91s)
2025-01-30 13:26:55,900 - INFO - Processed chunk 22/69 (Time: 0.36s, Estimated remaining: 26.85s)
2025-01-30 13:26:56,373 - INFO - Processed chunk 23/69 (Time: 0.47s, Estimated remaining: 26.08s)
2025-01-30 13:26:56,759 - INFO - Processed chunk 24/69 (Time: 0.39s, Estimated remaining: 25.18s)
2025-01-30 13:26:57,072 - INFO - Processed chunk 25/69 (Time: 0.31s, Estimated remaining: 24.18s)
2025-01-30 13:26:57,446 - INFO - Processed chunk 26/69 (Time: 0.37s, Estimated remaining: 23.34s)
2025-01-30 13:26:57,777 - INFO - Processed chunk 27/69 (Time: 0.33s, Estimated remaining: 22.47s)
2025-01-30 13:26:58,143 - INFO - Processed chunk 28/69 (Time: 0.37s, Estimated remaining: 21.69s)
2025-01-30 13:26:58,545 - INFO - Processed chunk 29/69 (Time: 0.40s, Estimated remaining: 20.98s)
2025-01-30 13:26:58,909 - INFO - Processed chunk 30/69 (Time: 0.36s, Estimated remaining: 20.25s)
2025-01-30 13:26:59,287 - INFO - Processed chunk 31/69 (Time: 0.38s, Estimated remaining: 19.56s)
2025-01-30 13:26:59,585 - INFO - Processed chunk 32/69 (Time: 0.30s, Estimated remaining: 18.79s)
2025-01-30 13:26:59,908 - INFO - Processed chunk 33/69 (Time: 0.32s, Estimated remaining: 18.08s)
2025-01-30 13:27:00,295 - INFO - Processed chunk 34/69 (Time: 0.39s, Estimated remaining: 17.46s)
2025-01-30 13:27:00,630 - INFO - Processed chunk 35/69 (Time: 0.33s, Estimated remaining: 16.80s)
2025-01-30 13:27:01,026 - INFO - Processed chunk 36/69 (Time: 0.40s, Estimated remaining: 16.22s)
2025-01-30 13:27:01,455 - INFO - Processed chunk 37/69 (Time: 0.43s, Estimated remaining: 15.67s)
2025-01-30 13:27:01,960 - INFO - Processed chunk 38/69 (Time: 0.50s, Estimated remaining: 15.20s)
2025-01-30 13:27:02,518 - INFO - Processed chunk 39/69 (Time: 0.56s, Estimated remaining: 14.76s)
2025-01-30 13:27:03,042 - INFO - Processed chunk 40/69 (Time: 0.52s, Estimated remaining: 14.29s)
2025-01-30 13:27:03,539 - INFO - Processed chunk 41/69 (Time: 0.50s, Estimated remaining: 13.80s)
2025-01-30 13:27:04,132 - INFO - Processed chunk 42/69 (Time: 0.59s, Estimated remaining: 13.37s)
2025-01-30 13:27:04,704 - INFO - Processed chunk 43/69 (Time: 0.57s, Estimated remaining: 12.92s)
2025-01-30 13:27:05,272 - INFO - Processed chunk 44/69 (Time: 0.57s, Estimated remaining: 12.47s)
2025-01-30 13:27:05,851 - INFO - Processed chunk 45/69 (Time: 0.58s, Estimated remaining: 12.01s)
2025-01-30 13:27:06,480 - INFO - Processed chunk 46/69 (Time: 0.63s, Estimated remaining: 11.57s)
2025-01-30 13:27:07,029 - INFO - Processed chunk 47/69 (Time: 0.55s, Estimated remaining: 11.09s)
2025-01-30 13:27:07,631 - INFO - Processed chunk 48/69 (Time: 0.60s, Estimated remaining: 10.63s)
2025-01-30 13:27:08,175 - INFO - Processed chunk 49/69 (Time: 0.54s, Estimated remaining: 10.14s)
2025-01-30 13:27:08,734 - INFO - Processed chunk 50/69 (Time: 0.56s, Estimated remaining: 9.65s)
2025-01-30 13:27:09,242 - INFO - Processed chunk 51/69 (Time: 0.51s, Estimated remaining: 9.14s)
2025-01-30 13:27:09,633 - INFO - Processed chunk 52/69 (Time: 0.39s, Estimated remaining: 8.60s)
2025-01-30 13:27:09,989 - INFO - Processed chunk 53/69 (Time: 0.36s, Estimated remaining: 8.05s)
2025-01-30 13:27:10,297 - INFO - Processed chunk 54/69 (Time: 0.31s, Estimated remaining: 7.49s)
2025-01-30 13:27:10,825 - INFO - Processed chunk 55/69 (Time: 0.53s, Estimated remaining: 7.00s)
2025-01-30 13:27:11,270 - INFO - Processed chunk 56/69 (Time: 0.44s, Estimated remaining: 6.49s)
2025-01-30 13:27:11,643 - INFO - Processed chunk 57/69 (Time: 0.37s, Estimated remaining: 5.96s)
2025-01-30 13:27:12,049 - INFO - Processed chunk 58/69 (Time: 0.41s, Estimated remaining: 5.45s)
2025-01-30 13:27:12,449 - INFO - Processed chunk 59/69 (Time: 0.40s, Estimated remaining: 4.93s)
2025-01-30 13:27:12,868 - INFO - Processed chunk 60/69 (Time: 0.42s, Estimated remaining: 4.43s)
2025-01-30 13:27:13,332 - INFO - Processed chunk 61/69 (Time: 0.46s, Estimated remaining: 3.93s)
2025-01-30 13:27:13,709 - INFO - Processed chunk 62/69 (Time: 0.38s, Estimated remaining: 3.43s)
2025-01-30 13:27:14,129 - INFO - Processed chunk 63/69 (Time: 0.42s, Estimated remaining: 2.93s)
2025-01-30 13:27:14,535 - INFO - Processed chunk 64/69 (Time: 0.41s, Estimated remaining: 2.44s)
2025-01-30 13:27:15,118 - INFO - Processed chunk 65/69 (Time: 0.58s, Estimated remaining: 1.96s)
2025-01-30 13:27:15,766 - INFO - Processed chunk 66/69 (Time: 0.65s, Estimated remaining: 1.47s)
2025-01-30 13:27:16,423 - INFO - Processed chunk 67/69 (Time: 0.66s, Estimated remaining: 0.99s)
2025-01-30 13:27:17,207 - INFO - Processed chunk 68/69 (Time: 0.78s, Estimated remaining: 0.50s)
2025-01-30 13:27:17,575 - INFO - Processed chunk 69/69 (Time: 0.37s, Estimated remaining: 0.00s)
2025-01-30 13:27:17,576 - INFO - Embedding computation completed in 34.24 seconds
2025-01-30 13:27:17,576 - INFO - Initialization complete
2025-01-30 16:17:29,913 - ERROR - Error querying Groq API: HTTPSConnectionPool(host='api.groq.com', port=443): Max retries exceeded with url: /openai/v1/chat/completions (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7f5cc393e390>: Failed to resolve 'api.groq.com' ([Errno -3] Temporary failure in name resolution)"))
2025-01-30 16:17:29,913 - ERROR - Error processing request: 500: Error querying LLM API
2025-01-30 16:32:36,972 - ERROR - Error querying Groq API: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-01-30 16:32:36,972 - ERROR - Error processing request: 500: Error querying LLM API
2025-01-30 16:32:47,329 - INFO - Use pytorch device_name: cpu
2025-01-30 16:32:47,329 - INFO - Load pretrained SentenceTransformer: multi-qa-mpnet-base-dot-v1
2025-01-30 16:32:59,820 - INFO - Loading text file...
2025-01-30 16:32:59,820 - INFO - Chunking text...
2025-01-30 16:32:59,821 - INFO - Computing embeddings...
2025-01-30 16:32:59,821 - INFO - Starting embedding computation for 69 chunks
2025-01-30 16:33:00,571 - INFO - Processed chunk 1/69 (Time: 0.75s, Estimated remaining: 50.97s)
2025-01-30 16:33:01,262 - INFO - Processed chunk 2/69 (Time: 0.69s, Estimated remaining: 48.26s)
2025-01-30 16:33:01,921 - INFO - Processed chunk 3/69 (Time: 0.66s, Estimated remaining: 46.18s)
2025-01-30 16:33:02,360 - INFO - Processed chunk 4/69 (Time: 0.44s, Estimated remaining: 41.25s)
2025-01-30 16:33:02,843 - INFO - Processed chunk 5/69 (Time: 0.48s, Estimated remaining: 38.68s)
2025-01-30 16:33:03,284 - INFO - Processed chunk 6/69 (Time: 0.44s, Estimated remaining: 36.35s)
2025-01-30 16:33:03,806 - INFO - Processed chunk 7/69 (Time: 0.52s, Estimated remaining: 35.29s)
2025-01-30 16:33:04,339 - INFO - Processed chunk 8/69 (Time: 0.53s, Estimated remaining: 34.45s)
2025-01-30 16:33:04,883 - INFO - Processed chunk 9/69 (Time: 0.54s, Estimated remaining: 33.74s)
2025-01-30 16:33:05,382 - INFO - Processed chunk 10/69 (Time: 0.50s, Estimated remaining: 32.81s)
2025-01-30 16:33:05,983 - INFO - Processed chunk 11/69 (Time: 0.60s, Estimated remaining: 32.49s)
2025-01-30 16:33:06,562 - INFO - Processed chunk 12/69 (Time: 0.58s, Estimated remaining: 32.02s)
2025-01-30 16:33:07,124 - INFO - Processed chunk 13/69 (Time: 0.56s, Estimated remaining: 31.46s)
2025-01-30 16:33:07,557 - INFO - Processed chunk 14/69 (Time: 0.43s, Estimated remaining: 30.39s)
2025-01-30 16:33:07,998 - INFO - Processed chunk 15/69 (Time: 0.44s, Estimated remaining: 29.44s)
2025-01-30 16:33:08,614 - INFO - Processed chunk 16/69 (Time: 0.62s, Estimated remaining: 29.13s)
2025-01-30 16:33:09,070 - INFO - Processed chunk 17/69 (Time: 0.46s, Estimated remaining: 28.29s)
2025-01-30 16:33:09,496 - INFO - Processed chunk 18/69 (Time: 0.43s, Estimated remaining: 27.41s)
2025-01-30 16:33:09,918 - INFO - Processed chunk 19/69 (Time: 0.42s, Estimated remaining: 26.57s)
2025-01-30 16:33:10,306 - INFO - Processed chunk 20/69 (Time: 0.39s, Estimated remaining: 25.69s)
2025-01-30 16:33:10,719 - INFO - Processed chunk 21/69 (Time: 0.41s, Estimated remaining: 24.91s)
2025-01-30 16:33:11,175 - INFO - Processed chunk 22/69 (Time: 0.46s, Estimated remaining: 24.26s)
2025-01-30 16:33:11,758 - INFO - Processed chunk 23/69 (Time: 0.58s, Estimated remaining: 23.87s)
2025-01-30 16:33:12,241 - INFO - Processed chunk 24/69 (Time: 0.48s, Estimated remaining: 23.29s)
2025-01-30 16:33:12,567 - INFO - Processed chunk 25/69 (Time: 0.33s, Estimated remaining: 22.43s)
2025-01-30 16:33:13,049 - INFO - Processed chunk 26/69 (Time: 0.48s, Estimated remaining: 21.88s)
2025-01-30 16:33:13,726 - INFO - Processed chunk 27/69 (Time: 0.68s, Estimated remaining: 21.63s)
2025-01-30 16:33:14,441 - INFO - Processed chunk 28/69 (Time: 0.71s, Estimated remaining: 21.41s)
2025-01-30 16:33:14,937 - INFO - Processed chunk 29/69 (Time: 0.50s, Estimated remaining: 20.85s)
2025-01-30 16:33:15,675 - INFO - Processed chunk 30/69 (Time: 0.74s, Estimated remaining: 20.61s)
2025-01-30 16:33:16,162 - INFO - Processed chunk 31/69 (Time: 0.49s, Estimated remaining: 20.03s)
2025-01-30 16:33:16,880 - INFO - Processed chunk 32/69 (Time: 0.72s, Estimated remaining: 19.72s)
2025-01-30 16:33:17,655 - INFO - Processed chunk 33/69 (Time: 0.77s, Estimated remaining: 19.45s)
2025-01-30 16:33:18,200 - INFO - Processed chunk 34/69 (Time: 0.54s, Estimated remaining: 18.92s)
2025-01-30 16:33:18,672 - INFO - Processed chunk 35/69 (Time: 0.47s, Estimated remaining: 18.31s)
2025-01-30 16:33:19,026 - INFO - Processed chunk 36/69 (Time: 0.35s, Estimated remaining: 17.60s)
2025-01-30 16:33:19,391 - INFO - Processed chunk 37/69 (Time: 0.36s, Estimated remaining: 16.92s)
2025-01-30 16:33:19,656 - INFO - Processed chunk 38/69 (Time: 0.27s, Estimated remaining: 16.18s)
2025-01-30 16:33:19,967 - INFO - Processed chunk 39/69 (Time: 0.31s, Estimated remaining: 15.50s)
2025-01-30 16:33:20,265 - INFO - Processed chunk 40/69 (Time: 0.30s, Estimated remaining: 14.82s)
2025-01-30 16:33:20,534 - INFO - Processed chunk 41/69 (Time: 0.27s, Estimated remaining: 14.15s)
2025-01-30 16:33:20,872 - INFO - Processed chunk 42/69 (Time: 0.34s, Estimated remaining: 13.53s)
2025-01-30 16:33:21,185 - INFO - Processed chunk 43/69 (Time: 0.31s, Estimated remaining: 12.92s)
2025-01-30 16:33:21,504 - INFO - Processed chunk 44/69 (Time: 0.32s, Estimated remaining: 12.32s)
2025-01-30 16:33:21,836 - INFO - Processed chunk 45/69 (Time: 0.33s, Estimated remaining: 11.74s)
2025-01-30 16:33:22,176 - INFO - Processed chunk 46/69 (Time: 0.34s, Estimated remaining: 11.18s)
2025-01-30 16:33:22,495 - INFO - Processed chunk 47/69 (Time: 0.32s, Estimated remaining: 10.61s)
2025-01-30 16:33:22,863 - INFO - Processed chunk 48/69 (Time: 0.37s, Estimated remaining: 10.08s)
2025-01-30 16:33:23,180 - INFO - Processed chunk 49/69 (Time: 0.32s, Estimated remaining: 9.53s)
2025-01-30 16:33:23,530 - INFO - Processed chunk 50/69 (Time: 0.35s, Estimated remaining: 9.01s)
2025-01-30 16:33:23,862 - INFO - Processed chunk 51/69 (Time: 0.33s, Estimated remaining: 8.48s)
2025-01-30 16:33:24,240 - INFO - Processed chunk 52/69 (Time: 0.38s, Estimated remaining: 7.98s)
2025-01-30 16:33:24,539 - INFO - Processed chunk 53/69 (Time: 0.30s, Estimated remaining: 7.46s)
2025-01-30 16:33:24,825 - INFO - Processed chunk 54/69 (Time: 0.29s, Estimated remaining: 6.95s)
2025-01-30 16:33:25,158 - INFO - Processed chunk 55/69 (Time: 0.33s, Estimated remaining: 6.45s)
2025-01-30 16:33:25,535 - INFO - Processed chunk 56/69 (Time: 0.38s, Estimated remaining: 5.97s)
2025-01-30 16:33:25,865 - INFO - Processed chunk 57/69 (Time: 0.33s, Estimated remaining: 5.48s)
2025-01-30 16:33:26,234 - INFO - Processed chunk 58/69 (Time: 0.37s, Estimated remaining: 5.01s)
2025-01-30 16:33:26,620 - INFO - Processed chunk 59/69 (Time: 0.39s, Estimated remaining: 4.54s)
2025-01-30 16:33:26,964 - INFO - Processed chunk 60/69 (Time: 0.34s, Estimated remaining: 4.07s)
2025-01-30 16:33:27,424 - INFO - Processed chunk 61/69 (Time: 0.46s, Estimated remaining: 3.62s)
2025-01-30 16:33:27,784 - INFO - Processed chunk 62/69 (Time: 0.36s, Estimated remaining: 3.16s)
2025-01-30 16:33:28,179 - INFO - Processed chunk 63/69 (Time: 0.39s, Estimated remaining: 2.70s)
2025-01-30 16:33:28,561 - INFO - Processed chunk 64/69 (Time: 0.38s, Estimated remaining: 2.25s)
2025-01-30 16:33:28,959 - INFO - Processed chunk 65/69 (Time: 0.40s, Estimated remaining: 1.79s)
2025-01-30 16:33:29,318 - INFO - Processed chunk 66/69 (Time: 0.36s, Estimated remaining: 1.34s)
2025-01-30 16:33:29,707 - INFO - Processed chunk 67/69 (Time: 0.39s, Estimated remaining: 0.89s)
2025-01-30 16:33:30,245 - INFO - Processed chunk 68/69 (Time: 0.54s, Estimated remaining: 0.45s)
2025-01-30 16:33:30,568 - INFO - Processed chunk 69/69 (Time: 0.32s, Estimated remaining: 0.00s)
2025-01-30 16:33:30,569 - INFO - Embedding computation completed in 30.75 seconds
2025-01-30 16:33:30,569 - INFO - Initialization complete
